FireDiscoveryDateTime,lon,lat
2020-08-09,-122.806646656,40.7021721400001
2020-08-10,-117.068900777,32.594726951
2020-08-10,-121.349395181,38.838921113
2020-08-11,-117.933562142,34.133624883
2020-08-11,-120.744663303,40.4698552950001
2020-08-12,-118.527472254,34.287804866
2020-08-12,-118.452042275,34.678984912
2020-08-13,-118.352612196,33.933194837
2020-08-15,-118.63351227,34.269804858
2020-08-15,-116.788996266,33.6773417650001
2020-08-15,-121.77334632,36.8961160160001
2020-08-15,-118.139312225,34.7130349350001
2020-08-16,-122.29663013,37.185887904
2020-08-16,-122.72362439,38.0288938420001
2020-08-16,-120.29295372,36.228138954
2020-08-17,-120.579463283,40.5119723120001
2020-08-17,-121.194396195,39.1443381500001
2020-08-17,-122.383485317,38.6688380190001
2020-08-18,-120.868702102,38.815184147
2020-08-19,-117.659562126,34.4987649390001
2020-08-20,-120.825601077,38.6651211380001
2020-08-20,-120.29442789,37.804561101
2020-08-22,-122.608413491,39.7431850850001
2020-08-24,-118.082972153,33.9671648560001
2020-08-24,-121.761463981,36.542857885
2020-08-28,-117.447012076,34.344644934
2020-08-30,-121.046052861,36.4464149250001
2020-09-01,-123.118713721,40.828725122
2020-09-03,-120.790270082,38.750737148
2020-09-03,-122.212146536,40.4953551740001
2020-09-04,-118.329712236,34.466514896
2020-09-08,-122.277530532,40.401122162
2020-09-10,-118.104812153,33.9171048490001
2020-09-12,-119.148112691,37.6969251740001
2020-09-13,-120.059413124,39.976688643
2020-09-17,-118.170492167,33.949714849
2020-09-19,-119.498492667,36.9579500780001
2020-09-19,-116.595455907,34.0805089520001
2020-09-19,-119.596211687,36.992445075
2020-09-20,-122.907246454,39.126772014
2020-09-22,-117.485112073,34.2254449180001
2020-09-26,-121.019290129,38.8362091380001
2020-09-27,-118.169512172,34.014844856
2020-09-27,-116.711151831,32.8311747980001
2020-09-28,-118.399812256,34.556904902
2020-09-28,-118.156112206,34.455764905
2020-09-28,-120.550463433,41.555488397
2020-09-28,-118.084702203,34.557954921
2020-09-29,-122.363763174,37.4873219240001
2020-09-29,-117.952032181,34.5651349290001
2020-09-29,-121.555546077,37.7141050020001
2020-09-30,-121.452118283,39.51018516
2020-10-01,-122.426443292,38.4152739960001
2020-10-02,-120.918785157,39.1812251750001
2020-10-04,-121.921542469,40.334754187
2020-10-05,-116.909901903,33.332284847
2020-10-07,-118.350757322,35.4000099950001
2020-10-08,-120.389915924,37.968709109
2020-10-11,-121.106285159,38.9722101420001
2020-10-12,-116.206911731,32.659944802
2020-10-12,-117.097900994,34.0724499230001
2020-10-14,-123.175680487,39.0775049900001
2020-10-15,-120.645861713,35.5914248710001
2020-10-20,-121.984889079,37.1434449220001
2020-10-23,-122.767029396,38.8404970030001
2020-10-25,-118.351263525,37.3998702010001
2020-10-25,-118.295612186,33.928704839
2020-10-25,-121.132619159,38.937361137
2020-10-26,-117.176625223,34.091955548
2020-10-26,-114.651311623,34.8708951580001
2020-10-27,-122.321173563,40.569157171
2020-11-03,-116.704366849,33.091639829
2020-11-05,-118.79961234,34.7663249010001
2020-11-11,-122.887235529,38.15083824
2020-11-13,-118.137372164,33.987664855
2020-11-17,-118.152462161,33.913134846
2020-11-21,-120.86284486,36.7123329620001
2020-11-26,-115.988695764,33.639513933
2020-11-27,-118.136662214,34.5826249200001
2020-11-27,-118.188512167,33.9150748440001
2020-11-27,-118.122722161,33.974394854
2020-11-28,-120.663938054,38.685021152
2020-12-01,-117.181712009,34.0895549200001
2020-12-01,-121.913041006,36.5665428770001
2020-12-02,-118.916679164,35.9008383120001
2020-12-05,-118.183212192,34.2331048790001
2020-12-05,-117.12589693,33.1972108200001
2020-12-07,-117.054455961,33.7656748900001
2020-12-08,-117.269899,33.78290688
2020-12-09,-119.895431788,37.475303099
2020-12-10,-116.984118941,33.665755882
2020-12-10,-118.965568149,36.6616717850001
2020-12-10,-118.112322217,34.6677049310001
2020-12-13,-117.032237099,33.9092795340001
2020-12-14,-116.689188813,32.6247097740001
2020-12-15,-118.117942222,34.711284936
2020-12-16,-116.981400781,32.869449188
2020-12-18,-118.028902141,33.9280948540001
2020-12-19,-121.551246993,36.9611569370001
2020-12-24,-118.090482162,34.063544866
2021-06-08,-117.875212116,33.943224865
2021-07-02,-120.496883979,38.2870331300001
2021-07-04,-122.753546791,41.6491722110001
2021-10-02,-118.084162202,34.54661492
